Depth [L],t = 0.0,t = 0.08,t = 0.12,t = 0.8,t = 1.92,t = 2.83
1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
1.0,-105.26025641025649,-104.22573903084196,-103.71229952164913,-95.36114428456244,-83.04640298727332,-74.2214759728472
1.0,77.82225641025661,77.05740520218103,76.67780323682189,70.50353156874212,61.398855560314246,54.87430870330314
1.0,38.68157142857126,38.30140263812882,38.11272172811334,35.04380376553627,30.518329208882562,27.275305785978844
1.0,6.34344984802442,6.281105569436704,6.250163588484952,5.746888438463088,5.004750771545332,4.472923514765
1.0,5.918178723404253,5.860013865340761,5.831146166097028,5.361609536550986,4.669223502061186,4.173049246789219
1.0,0.9610500000000002,0.9516046812880177,0.9469168914764623,0.870669406398747,0.7582336199242263,0.6776603967199435
1.0,2.541709183673447,2.5167288209810295,2.504330860809091,2.3026765407200855,2.005313957916428,1.7922194723746543
1.0,-0.619387755102025,-0.6133002857109204,-0.6102790244782454,-0.5611378519703294,-0.4886735419670458,-0.43674455043651506
1.0,0.4649579831932442,0.4603883174331713,0.45812035451842803,0.421231655618044,0.36683497918318153,0.32785348075793763
1.0,4.5457013574661005,4.501025412032618,4.478852371583457,4.11820518868592,3.5863892645104443,3.2052819957970655
1.0,0.6691902834007806,0.6626134052269208,0.6593492461572623,0.6062572898892995,0.5279670150533775,0.47186298592652065
1.0,2.5395789473684545,2.5146194876795107,2.50223190196391,2.3007463355409072,2.003632643396145,1.7907165525890605
1.0,-6.008000000000038,-5.948952316093596,-5.919646463270169,-5.442983229431434,-4.740088255284945,-4.236383186569867
1.0,-1.9120930232558067,-1.89330065485035,-1.8839738472527188,-1.7322721889637478,-1.508570553026857,-1.348262588726925
1.0,2.94419828641378,2.9152621934422314,2.900900971673991,2.6673139634320933,2.3228629402012757,2.076024168892218
1.0,2.8299780701753434,2.8021645777763524,2.788360511847486,2.5638357019856812,2.232747904811731,1.995485395454466
1.0,2.0988690476191323,2.078240999416039,2.0680031288303553,1.901482925364462,1.6559296495117906,1.4799624857146227
1.0,-1.8442857142857747,-1.8261597456208847,-1.8171636777972253,-1.6708415498582099,-1.4550726821131548,-1.3004494825647157
1.0,-1.3432456140351405,-1.3300439550707779,-1.3234918627929346,-1.216921292419329,-1.0597706870933052,-0.9471542134276092
1.0,2.6832456140351724,2.6568741967823826,2.6437858447874305,2.4309022217620395,2.116980747816001,1.892019923114617
1.0,0.042056737588609394,0.04164337354939107,0.04143821765046596,0.03810134038792512,0.03318075987465363,0.029654622976579503
1.0,-6.607591328783542,-6.542650733549863,-6.510420180283745,-5.986186348519482,-5.213143064128531,-4.659168689084197
1.0,4.3921237384817005,4.348957135739056,4.327533194690773,3.9790702201028125,3.465221377448188,3.0969896373268284
1.0,0.04796369824168778,0.047492340027019964,0.04725840091646205,0.04345333968763043,0.03784228822814839,0.03382128426756026
1.0,1.9887804878048883,1.969234402351617,1.9595335188338368,1.8017474773589583,1.569073741080274,1.4023362558847339
1.0,-0.25,-0.2475429660254349,-0.2463235197492395,-0.22648907525228879,-0.1972408834056978,-0.17628118002699011
1.0,-3.6888571428571595,-3.6526023998167148,-3.6346088716634313,-3.341941965675346,-2.9103708269011577,-2.60110048798623
1.0,1.362515679442481,1.3491246118655909,1.3424785146007707,1.2343789485394154,1.074973687564011,0.9607415143897242
1.0,-0.3916585365853962,-0.38780923090587294,-0.3858987887912235,-0.3548252230517619,-0.30900368430354774,-0.2761673009585479
1.0,1.4880000000000564,1.4733756310700983,1.4661174362372549,1.3480620362255422,1.1739757740136838,1.0492229962476927
1.0,-6.993157894736896,-6.9244279050143405,-6.8903166439105235,-6.33549286438631,-5.517341141459951,-4.931041360126642
1.0,-0.7186068111454915,-0.7115442037259072,-0.708038973426028,-0.6510259840630397,-0.566953765483845,-0.5067063680658066
1.0,9.26755417956656,9.1764710261981,9.131265705487749,8.395995705715222,7.31175519095666,6.534772190436911
1.0,0.44118727050192774,0.4368512439659753,0.43469923806537736,0.39969658812663056,0.3480810869690458,0.3110926026502625
1.000000000000007,-2.5327545219638523,-2.507862099930321,-2.495507785682207,-2.294563395812588,-1.9982477757511106,-1.7859036320339783
1.0,10.691162393162358,10.586087724053641,10.533938298773478,9.685721615264924,8.434928231150138,7.538590995742425
1.0,-5.233003663003728,-5.181572759439632,-5.1560471776343775,-4.740870515506117,-4.128644617460623,-3.6899143889991137
1.0,-6.671774891774817,-6.60620352969147,-6.573659921482317,-6.044334198833667,-5.2637822800530785,-4.704427061394085
1.0,2.767012987013004,2.739818282551255,2.726321326344987,2.5067917088806553,2.1830699575920107,1.951086114542818
1.0,4.221868131868064,4.180374843709046,4.1597813824520244,3.8248262574840055,3.3308962823304,2.9769386876430417
1.0,-7.187859272510536,-7.117215747770615,-7.082154783355463,-6.511883956105066,-5.670953745557085,-5.06833053234476
1.0,-7.602438717787436,-7.5277206478517655,-7.49063745297542,-6.887474797910045,-5.998041770140958,-5.360660695585125
1.0,1.34031081081082,1.3271379324995678,1.3206001245308698,1.2142619126633463,1.057454029883388,0.9450832244094158
1.0,-3.9910789473684645,-3.951853926850845,-3.932386225429468,-3.6157417091002344,-3.148812799955863,-2.814204540431831
1.0,-2.1959210526315474,-2.1743391797371032,-2.163627918013276,-1.9894079435775893,-1.7325004406862945,-1.5483966466186985
1.0,-0.31358695652170354,-0.3105049791183774,-0.30897536825966654,-0.28409605924287007,-0.24740863165470728,-0.22111786006558987
1.0,0.43472332015801385,0.4304507907544348,0.4283302991218534,0.39384024386117744,0.342980664496622,0.3065339192689862
