Depth [L],t = 0.02,t = 0.2,t = 0.5,t = 1.0,t = 1.5,t = 2.0,t = 3.0,t = 6.0
18.75,499.9999999991274,499.999999917154,499.999999523559,499.9999983272389,499.9999966644971,499.9999946984571,499.99999024091,499.99997542152124
21.25,491.4590546656781,420.97527454445805,325.5783153991279,212.7588658728835,139.5186643527688,91.80175050913948,40.136630800841914,3.60028432488624
23.75,499.9251971328296,493.26776680554974,464.57536972331013,392.5668467697199,314.38473372521906,243.32834826825635,136.83241315217626,19.379894912938575
26.25,499.99961095310545,499.6530789349061,495.51338008191783,473.6371903430969,434.08683045878627,383.2199834743468,273.57213173422855,66.21410092212251
28.75,499.99999867090764,499.9882277684286,499.62091485464873,495.5842616923704,483.6299954072035,461.8821112144117,393.2147446083298,157.03636928274253
31.25,499.999999996958,499.9997346574137,499.9785651402382,499.4983942438423,497.20282435019743,491.3066175002135,463.60119589596735,279.9947421455905
33.75,499.9999999999956,499.99999629533636,499.99924510873785,499.9641577314587,499.69579846088834,498.719404097648,491.69838629491136,395.79702828796775
36.25,500.0,499.9999999743904,499.99998346808394,499.986110238015,499.35316718846775,493.76766244159313,433.01091259012287,114.06791235698986
38.75,500.0,499.9999999990304,499.9999238091394,499.88946270916904,496.6446584136827,477.1665668959176,349.6941910130734,26.255195132528897
41.25,500.0,499.999999960248,499.99882081232073,499.2399601575651,486.1213259930719,434.8073250714311,240.25017831266382,6.881837671733646
43.75,500.0,499.9999986455364,499.9852003740112,495.80831701614414,454.2254741176112,351.2517145439623,128.5029207700767,1.269215893799539
46.25,500.0,499.9999628293013,499.8516492097698,481.7403686845311,381.099441428191,229.7680983581548,48.15815425124674,0.14970295323612895
48.75,499.99999999999983,499.9991958799756,498.8379973994282,438.4233095686674,259.5990696666073,106.6090757369509,10.608440474588429,0.010276837026327316
51.25,499.99999999995106,499.98652196366874,493.0092067333172,341.3428915499582,120.34271882390843,25.874692250747795,0.6125110794152054,0.00014754944418559517
53.75,499.99999999623367,499.9000793161138,479.4933853716444,258.66466440911705,65.44987256004882,10.331638171710823,0.1298179501341862,4.163972794872629e-06
56.25,499.9999997647367,499.3756014402463,448.53157585696465,172.13903944433585,30.289099379554187,3.506980761722035,0.026770725550257904,1.176188111877001e-07
58.75,499.99998803311416,496.75156883686776,390.1131530160799,97.6249538326651,11.694410139234941,0.991601498704845,0.004723115543984827,3.4493974008922505e-09
61.25,499.99950897002435,486.15442402239876,301.13732264366206,45.69008629597574,3.690896860714263,0.23064977752565458,0.0007036295359444259,1.0766578583632683e-10
63.75,499.9839981784332,452.5488037724673,194.52695060549115,17.012332160311193,0.9307434660073859,0.04358153591219793,8.851273527558549e-05,5.520674233785933e-12
66.25,499.5995310076115,371.93683262446837,97.40830239744452,4.794834957251408,0.1813084530568876,0.006540727019772987,9.304785132240803e-06,-2.3730930611296093e-13
68.75,492.84542836831025,234.8698020691454,34.036024652224626,0.9649501353778089,0.02654404633768527,0.0007735115252325941,8.249805680071006e-07,9.361226086888358e-14
71.25,418.6070401151619,86.91066178017961,6.979176832660419,0.1290044704085531,0.002872142531010983,7.304621231265498e-05,6.447290458728857e-08,-7.801650125504643e-15
