Z0,C0,Z1,C1,Z2,C2,Z3,C3,Z4,C4,Z5,C5
57.36,672.19,50.93,679.24,54.86,676.78,54.57,663.16,58.53,587.93,47.41,410.07
57.77,672.41,51.29,678.95,55.22,676.72,54.94,663.11,58.91,587.95,47.74,415.61
58.2,672.19,51.67,678.91,55.58,676.55,55.3,662.74,59.28,587.41,48.07,421.27
58.6,671.67,51.98,678.83,55.98,676.12,55.68,662.72,59.67,586.13,48.39,426.94
59.05,672.71,52.35,678.79,56.41,676.13,56.08,662.5,60.05,585.46,48.71,430.6
59.46,673.34,52.73,678.49,56.84,675.91,56.4,661.71,60.43,583.27,49.03,436.2
59.8,672.89,53.1,678.23,57.26,675.71,56.72,661.84,60.91,582.81,49.32,440.26
60.2,669.59,53.53,678.44,57.76,675.1,57.07,661.07,61.41,580.32,49.63,445.96
60.58,664.85,53.93,678.52,58.17,674.79,57.39,660.67,61.89,578.92,49.97,451.62
60.98,662.56,54.26,678.35,58.59,674.03,57.75,660.24,62.33,576.75,50.28,458.46
61.49,665.82,54.64,678.13,58.95,673.37,58.1,659.78,62.72,574.67,50.58,463.4
61.92,669.82,54.99,677.37,59.29,673.33,58.51,657.94,63.14,570.42,50.86,465.57
62.32,673.89,55.32,677.47,59.7,672.95,58.88,657.15,63.57,569.8,51.28,472.39
62.7,676.62,55.62,677.76,60.06,672.68,59.25,656.07,63.98,567.26,51.54,474.75
63.13,677.01,55.95,677.72,60.39,669.91,59.62,655.51,64.42,565.07,51.8,479.31
63.56,674.83,56.24,677.13,60.73,672.44,59.98,654.46,64.85,563.48,52.12,483.75
63.96,672.39,56.52,677.08,61.07,672.06,60.37,653.6,65.34,560.98,52.44,486.85
64.33,671.77,56.85,676.5,61.42,671.54,60.8,652.7,65.8,558.94,52.72,489.46
64.78,675.35,57.2,675.92,61.76,671.71,61.2,650.96,66.25,557.49,53.01,493.63
65.17,680.93,57.49,676.56,62.11,671.63,61.57,649.8,66.66,555.68,53.31,499.28
65.56,684.38,57.79,676.17,62.47,671.4,61.98,648.49,67.08,554.28,53.58,501.43
65.95,683.77,58.07,675.97,62.82,671.58,62.38,647.35,67.51,552.46,53.83,505.66
66.42,678.55,58.33,675.81,63.19,671.17,62.76,645.61,67.93,554.23,54.12,510.1
66.84,675.53,58.59,675.78,63.55,671.11,63.13,643.35,68.39,555.17,54.41,513.87
67.32,671.44,58.9,675.53,63.89,670.93,63.49,642.84,68.84,555.62,54.69,517.58
67.98,672.15,59.29,675,64.28,666.98,63.88,641.09,69.25,553.04,54.96,519.06
68.41,673.91,59.66,675.03,64.61,670.43,64.26,639.21,69.67,540.99,55.24,522.39
68.83,677.67,60.1,674.21,64.96,670,64.64,637.84,70.1,557.55,55.52,523.19
69.24,679.2,60.52,673.67,65.32,670.01,64.99,637.21,70.51,558.71,55.84,527.42
69.63,678.1,60.93,674.2,65.67,669.76,65.41,635.68,70.92,556.13,56.11,528.33
70.06,674.48,61.35,674.03,66.07,667.16,65.8,634.14,71.35,559.73,56.36,527.43
70.49,671.16,61.73,674.26,66.45,668.07,66.15,633.53,71.75,560.43,56.57,532
70.88,665.17,62.11,673.8,66.82,668.73,66.55,627.76,72.13,561.21,56.71,532.48
71.29,663.44,62.54,673.92,67.21,668.04,66.87,631.71,72.48,561.66,57.05,535.01
71.66,664.2,62.95,673.91,67.58,667.18,67.21,630.6,72.89,561.95,57.36,535.61
72.01,666.05,63.33,673.23,67.95,667.3,67.57,630.15,73.26,562.28,57.68,537.17
72.39,665.07,63.67,674.19,68.31,667.63,67.91,630.75,73.67,562.17,57.98,538.04
72.79,665.41,64.06,673.8,68.62,667.08,68.26,631.29,74.08,562.6,58.26,539.02
73.18,662.31,64.38,673.35,68.95,666.19,68.49,631.73,74.44,562.02,58.54,539.98
73.56,660.72,64.73,673.51,69.31,666.6,68.69,631.76,74.84,562.02,58.83,539.97
73.95,659.29,65.06,672.66,69.63,665.88,68.99,632.19,75.22,561.49,59.11,540.61
74.33,658.91,65.4,673.44,70,665.63,69.39,632.5,75.61,561.15,59.4,541.08
74.77,659.02,65.75,673.8,70.37,665.42,69.69,633.13,75.96,560.53,59.7,541.18
75.25,658.67,66.12,671.89,70.83,664.96,70.08,633.36,76.3,560.43,59.96,541.43
75.71,658.58,66.42,673.06,71.16,664.37,70.48,633.75,76.67,559.5,60.21,541.28
76.09,659.4,66.74,672.49,71.5,663.39,70.87,634.17,77.04,559.14,60.5,541.15
76.53,659,67.15,672.73,71.91,661.56,71.23,634,77.42,556.74,60.8,541.02
76.94,659.7,67.54,671.63,72.31,661.86,71.63,634.25,77.83,555.57,61.1,539.36
77.36,660.52,67.95,671.06,72.69,660.41,71.98,634.15,78.21,555.27,61.42,539.71
77.71,661.18,68.28,670.66,73.02,660.34,72.35,633.67,78.58,554.18,61.73,539.42
78.1,660.01,68.69,671.41,73.41,659.57,72.71,633.55,78.97,552.86,62.06,537.54
78.66,651.33,69.07,670.22,73.77,657.92,73.01,632.84,79.37,552.04,62.4,538.23
79.03,643.62,69.44,670.43,74.12,655.95,73.33,632.45,79.74,550.48,62.73,537.1
79.43,631.76,69.81,670.18,74.46,655.47,73.65,631.9,80.14,549.13,63.1,535.45
79.76,629.66,70.19,667.51,74.79,655.38,73.98,631.37,80.5,548.33,63.45,535.18
80.12,617.81,70.63,668.53,75.09,655.12,74.3,629.51,80.88,546.8,63.78,533.78
80.45,605.78,71.05,667.46,75.45,653.35,74.6,630.16,81.22,546.29,64.08,532.76
80.74,600.71,71.48,666.89,75.78,650.6,74.93,628.46,81.53,545.78,64.41,532.36
81.07,586.88,71.86,665.84,76.12,650.46,75.23,626.95,81.86,544.46,64.72,530.9
81.39,586.95,72.24,665.79,76.48,649.27,75.56,625.24,82.2,543.13,65.03,530.3
81.71,566.62,72.56,664.5,76.91,632.95,75.96,622.94,82.54,543.23,65.32,528.74
82.07,553.36,72.91,664.08,77.32,636.01,76.33,620.72,82.89,531.19,65.63,528.32
82.48,531.54,73.29,661.55,77.67,636.28,76.69,610.72,83.25,538.15,65.96,527.4
82.82,506.19,73.64,661.45,77.98,628.29,77.01,615.93,83.66,508.86,66.27,526.87
83.14,450.31,73.97,660.41,78.39,626.9,77.35,613.61,83.99,438.27,66.57,526.41
83.5,395.61,74.36,659.25,78.74,627.83,77.68,611.68,84.28,392.55,66.84,526.76
83.86,322.18,74.69,658.25,79.11,615.69,78.06,606.96,84.67,319.21,67.14,526.86
84.19,255.28,75.06,658.15,79.55,594.92,78.4,605.18,85.06,211.43,67.44,526.9
84.56,221.67,75.39,657.04,79.92,591.09,78.69,600.14,85.25,206.39,67.79,526.86
84.93,167.08,75.71,654.05,80.33,582.98,78.97,596.27,85.66,183.29,68.09,529.19
85.31,104.81,76.05,651.15,80.68,559.02,79.26,594.3,86.12,144.25,68.39,529.77
85.66,105.38,76.41,653.32,81.04,523.94,79.56,593.79,86.52,126.28,68.7,531.21
86.03,102.52,76.77,651.3,81.43,503.31,79.94,591.56,86.86,27.09,68.95,530.76
86.4,108.46,77.14,647.94,81.85,490.72,80.31,587.38,87.25,2.15,69.26,528.68
86.77,98.01,77.45,646.01,82.25,500.07,80.69,583.66,87.61,0.91,69.57,534.31
86.98,92.9,77.79,645.04,82.6,499.31,81.07,581.31,87.66,1.29,69.93,535.43
87.22,4.45,78.18,639.18,82.96,427.54,81.43,577.81,,,70.27,537.43
87.52,5.39,78.54,630.42,83.28,427.89,81.83,575.96,,,70.56,537.01
87.65,0.05,78.85,618.47,83.64,390.99,82.22,574.44,,,70.87,538.11
87.7,0.03,79.18,619.91,84,284.75,82.54,571.46,,,71.21,539.22
87.7,0.12,79.51,618.75,84.34,252.74,82.86,569.86,,,71.52,539.76
87.71,0.36,79.86,606.65,84.72,228.3,83.29,568.92,,,71.82,541.04
87.71,0.37,80.15,580.38,85.12,196.36,83.56,566.81,,,72.09,541.37
87.71,0.37,80.51,575.3,85.46,168.09,83.86,564.17,,,72.38,542.39
87.72,0.34,80.82,571.13,85.82,139.55,84.18,392.38,,,72.64,542.69
,,81.12,568.13,86.22,130.85,84.48,277.51,,,72.97,543.66
,,81.45,554.27,86.58,118.61,84.74,234.88,,,73.25,543.82
,,81.72,514.82,86.87,40.16,84.98,218.89,,,73.55,545.15
,,82.11,486.08,87.28,5.65,85.25,209.21,,,73.89,545.78
,,82.44,482.12,87.52,12.83,85.56,182.77,,,74.16,545.82
,,82.75,447.49,87.55,0.39,85.89,173.69,,,74.47,545.75
,,83.06,391.14,,,86.2,150.25,,,74.78,545.1
,,83.41,356.5,,,86.48,144.2,,,75.08,546.48
,,83.72,373.79,,,86.77,132.81,,,75.35,546.57
,,84.01,311.31,,,87.04,8.97,,,75.62,546.83
,,84.32,268.69,,,87.21,8.72,,,75.86,547.04
,,84.65,261.59,,,87.45,25.34,,,76.08,546.91
,,84.95,213.91,,,87.52,6.29,,,76.3,546.82
,,85.24,182.07,,,,,,,76.56,546.97
,,85.54,152.2,,,,,,,76.79,546.64
,,85.85,138.02,,,,,,,77.03,546.42
,,86.23,127.66,,,,,,,77.29,546.52
,,86.6,119.71,,,,,,,77.52,546.52
,,86.84,110.9,,,,,,,77.72,545.66
,,87.1,11.4,,,,,,,77.96,546.13
,,87.32,0.12,,,,,,,78.21,545.44
,,87.5,-0.06,,,,,,,78.45,544.49
,,,,,,,,,,78.68,545.32
,,,,,,,,,,78.93,545.07
,,,,,,,,,,79.21,544.95
,,,,,,,,,,79.49,543.87
,,,,,,,,,,79.74,543.99
