iteration,_is_super,_lambda,_scale_factor,in_inst:0_usecol:1_direct_idx0:18.75,out_inst:0_usecol:2_direct_idx0:18.75,in_inst:0_usecol:1_direct_idx0:21.25,out_inst:0_usecol:2_direct_idx0:21.25,in_inst:0_usecol:1_direct_idx0:23.75,out_inst:0_usecol:2_direct_idx0:23.75,in_inst:0_usecol:1_direct_idx0:26.25,out_inst:0_usecol:2_direct_idx0:26.25,in_inst:0_usecol:1_direct_idx0:28.75,out_inst:0_usecol:2_direct_idx0:28.75,in_inst:0_usecol:1_direct_idx0:31.25,out_inst:0_usecol:2_direct_idx0:31.25,in_inst:0_usecol:1_direct_idx0:33.75,out_inst:0_usecol:2_direct_idx0:33.75,in_inst:0_usecol:1_direct_idx0:36.25,out_inst:0_usecol:2_direct_idx0:36.25,in_inst:0_usecol:1_direct_idx0:38.75,out_inst:0_usecol:2_direct_idx0:38.75,in_inst:0_usecol:1_direct_idx0:41.25,out_inst:0_usecol:2_direct_idx0:41.25,in_inst:0_usecol:1_direct_idx0:43.75,out_inst:0_usecol:2_direct_idx0:43.75,in_inst:0_usecol:1_direct_idx0:46.25,out_inst:0_usecol:2_direct_idx0:46.25,in_inst:0_usecol:1_direct_idx0:48.75,out_inst:0_usecol:2_direct_idx0:48.75,in_inst:0_usecol:1_direct_idx0:51.25,out_inst:0_usecol:2_direct_idx0:51.25,in_inst:0_usecol:1_direct_idx0:53.75,out_inst:0_usecol:2_direct_idx0:53.75,in_inst:0_usecol:1_direct_idx0:56.25,out_inst:0_usecol:2_direct_idx0:56.25,in_inst:0_usecol:1_direct_idx0:58.75,out_inst:0_usecol:2_direct_idx0:58.75,in_inst:0_usecol:1_direct_idx0:61.25,out_inst:0_usecol:2_direct_idx0:61.25,in_inst:0_usecol:1_direct_idx0:63.75,out_inst:0_usecol:2_direct_idx0:63.75,in_inst:0_usecol:1_direct_idx0:66.25,out_inst:0_usecol:2_direct_idx0:66.25,in_inst:0_usecol:1_direct_idx0:68.75,out_inst:0_usecol:2_direct_idx0:68.75,in_inst:0_usecol:1_direct_idx0:71.25,out_inst:0_usecol:2_direct_idx0:71.25,tot_inst:0_usecol:1_direct,p_inst:0_usecol:1_direct_idx0:boreholedepth,p_inst:0_usecol:1_direct_idx0:spatialdiscretizationofgrid,p_inst:0_usecol:1_direct_idx0:constantboreholecross-sectionalarea,p_inst:0_usecol:1_direct_idx0:dispersivity,p_inst:0_usecol:1_direct_idx0:diffusioncoefficient,p_inst:0_usecol:1_direct_idx0:tracerconcentrationofwaterinflow,p_inst:0_usecol:1_direct_idx0:watertemperature,p_inst:0_usecol:1_direct_idx0:alphamin,p_inst:0_usecol:1_direct_idx0:alphamax,p_inst:0_usecol:1_direct_idx0:flowmin,p_inst:0_usecol:1_direct_idx0:flowmax
1,0,0.1,1,0.418114,0.499518,1.0453,0.499555,1.0598,0.4996,0.944544,0.499633,0.826284,0.499642,0.723059,0.499645,0.704013,0.499781,2.30324,0.503039,2.43301,0.518074,2.36881,0.544815,2.32763,0.562152,2.29154,0.553092,2.22119,0.528558,1.89159,0.50909,0.631698,0.501065,0.342749,0.499731,0.286268,0.499549,0.272961,0.499517,0.269234,0.499508,0.268207,0.499497,0.268786,0.499488,0.293692,0.499491,1.10143,,,,10,1e-09,,,,,,
1,0,0.1,0.75,0.417945,0.499638,1.04471,0.499666,1.05971,0.4997,0.944532,0.499724,0.826245,0.499731,0.723067,0.499734,0.704144,0.499836,2.2941,0.502278,2.43167,0.513495,2.36812,0.533248,2.32691,0.545925,2.29047,0.539313,2.21936,0.521269,1.89083,0.506802,0.631836,0.500799,0.342828,0.499798,0.286328,0.499662,0.273012,0.499638,0.269283,0.499631,0.268256,0.499622,0.268831,0.499616,0.293673,0.499618,1.10107,71.25,2.5,0.0314159,5.94604,1e-09,0,28.5,0.2,1.5,0,2
1,0,1,1,0.442587,0.477211,1.12043,0.481955,1.07977,0.484613,0.953495,0.485538,0.837565,0.485584,0.716228,0.485845,0.670677,0.494551,3.05487,0.617366,2.64596,0.781218,2.49642,0.8657,2.44259,0.886765,2.42594,0.869747,2.36407,0.816719,1.87958,0.711965,0.600032,0.563892,0.327244,0.499288,0.276387,0.4812,0.266351,0.4759,0.263005,0.473671,0.260594,0.472037,0.261776,0.471017,0.303704,0.471568,1.14826,,,,10,1e-09,,,,,,
1,0,1,0.75,0.436161,0.482809,1.10053,0.486404,1.07465,0.488415,0.951237,0.489114,0.834691,0.489148,0.717938,0.489346,0.678987,0.495907,2.83532,0.585665,2.5896,0.69875,2.46317,0.754689,2.41258,0.768421,2.3905,0.757334,2.32559,0.722432,1.88182,0.651758,0.60793,0.547192,0.331129,0.499466,0.278883,0.485832,0.268038,0.481814,0.264596,0.48012,0.262525,0.478878,0.263555,0.478102,0.30115,0.478521,1.136,71.25,2.5,0.0314159,5.94604,1e-09,0,28.5,0.2,1.5,0,2
1,0,10,1,0.462186,0.460366,1.55465,0.505184,1.44392,0.511171,1.23467,0.520812,1.01708,0.526852,0.636124,0.521,0.325695,0.558098,4.93922,0.914551,4.4407,0.969935,3.8197,0.974622,3.34235,0.974753,2.8371,0.973609,1.95603,0.969008,0.822598,0.935582,0.274484,0.730472,0.216155,0.518753,0.212923,0.373983,0.224152,0.283885,0.231726,0.22435,0.232188,0.178146,0.244823,0.142018,0.40121,0.152778,1.25313,,,,1.86304,1e-09,,,,,,
1,0,10,0.75,0.450568,0.469969,1.40698,0.503883,1.33637,0.508355,1.15468,0.515529,0.965556,0.520007,0.656833,0.515669,0.394989,0.54297,4.06538,0.786409,3.81843,0.821863,3.38865,0.82484,3.05233,0.824923,2.68835,0.824197,2.01752,0.821274,1.01256,0.799934,0.338151,0.664424,0.242615,0.514,0.229325,0.402144,0.235512,0.327039,0.240625,0.274118,0.240756,0.230582,0.250647,0.194536,0.371085,0.205488,1.21296,71.25,2.5,0.0314159,1.68614,1e-09,0,28.5,0.2,1.5,0,2
1,0,100,1,0.412084,0.528323,1.14405,0.530036,1.16292,0.530628,1.0172,0.534909,0.861837,0.537485,0.709502,0.534962,0.639271,0.532858,2.83156,0.554014,3.00424,0.553603,2.75085,0.554172,2.50404,0.554409,2.2306,0.554418,1.89018,0.554041,1.40293,0.550839,0.534913,0.525579,0.313696,0.493306,0.26834,0.462552,0.259992,0.43602,0.260042,0.413885,0.262543,0.395102,0.268657,0.379168,0.31697,0.380239,1.01787,,,,1.21859,1e-09,,,,,,
1,0,100,0.75,0.413417,0.521096,1.11789,0.522362,1.13614,0.522799,0.998512,0.52596,0.852767,0.527858,0.712875,0.525999,0.654998,0.524447,2.67841,0.539986,2.84837,0.539686,2.64914,0.540102,2.45796,0.540276,2.24464,0.540282,1.96637,0.540007,1.51116,0.537664,0.557744,0.519064,0.320793,0.494971,0.272772,0.471643,0.263224,0.451203,0.262357,0.433913,0.263997,0.419058,0.268734,0.406318,0.310963,0.407178,1.03781,71.25,2.5,0.0314159,1.22636,1e-09,0,28.5,0.2,1.5,0,2
1,0,1000,1,0.416762,0.504514,1.05383,0.504536,1.07071,0.504594,0.952153,0.505048,0.829834,0.505311,0.722049,0.505036,0.698408,0.504671,2.33679,0.506251,2.50134,0.506138,2.41245,0.5062,2.34174,0.50622,2.27075,0.506211,2.16064,0.506149,1.81584,0.505734,0.61985,0.502697,0.339469,0.498716,0.2843,0.494689,0.271592,0.490993,0.268384,0.487765,0.267903,0.484984,0.269251,0.48264,0.296741,0.482659,1.02713,,,,1.24492,1e-09,,,,,,
1,0,1000,0.75,0.416931,0.503382,1.05109,0.503398,1.06788,0.503442,0.950233,0.503781,0.828906,0.503978,0.72231,0.503773,0.699936,0.503499,2.31912,0.504681,2.48271,0.504596,2.40076,0.504643,2.33748,0.504658,2.27487,0.504651,2.17382,0.504605,1.83375,0.504295,0.622928,0.502021,0.340364,0.499037,0.284851,0.496011,0.271984,0.49323,0.268644,0.490796,0.268029,0.488695,0.269179,0.486922,0.295956,0.486937,1.04488,71.25,2.5,0.0314159,1.24619,1e-09,0,28.5,0.2,1.5,0,2
