Z1,C1,Z2,C2,Z3,C3,Z4,C4
,,84.28,42.79,85.86,0.23,83.67,-0.04
,,84.62,36.06,85.87,0.32,84.08,-0.06
,,84.98,26.4,,,84.51,-0.07
,,85.32,20.53,,,84.92,-0.05
,,85.59,16.18,,,85.36,-0.02
,,85.85,13.33,,,85.74,0.08
,,85.88,13.62,,,86.11,0.48
,,,,,,86.41,0.37
,,,,,,86.46,0.32
,,,,,,86.55,0.4
,,,,,,86.62,0.29
