Depth [L],t = 0.02,t = 0.2,t = 0.5,t = 1.0,t = 1.5,t = 2.0,t = 3.0,t = 6.0
18.75,496.2435591154502,463.6291417742819,413.80020123246936,342.0549225708181,282.4987074205803,233.15520302975506,158.59093511164681,49.61272231050084
21.25,491.2763798870702,419.83567591697715,324.62442988637457,213.92634165747629,142.81443570593538,96.4855596358295,45.579155121690796,6.374653230702649
23.75,493.0992984504818,434.2719600268249,349.3377461595682,240.79654855014243,165.1407405661924,113.1613859588548,53.49536560266161,6.546602861568614
26.25,494.13007854074823,443.46104777219546,367.62097288635124,264.4472223697421,187.34985748498087,131.43938284799773,63.77566867118452,7.5445711325819
28.75,495.0174544089023,451.42879172817686,383.9411059646248,286.78998767675813,209.51728137503625,150.611582877938,75.48899058805173,8.973431996159308
31.25,495.94337474637643,459.4628821816939,398.91431630920164,306.01274672254675,228.82168462306575,167.8872611054444,86.78559673735721,10.533550699333686
33.75,497.18261615800714,461.6725031865865,395.62024806341725,301.64882858165544,227.3376523857974,168.82777899743581,89.29333257514418,11.09270064004221
36.25,472.40333608100366,325.6164356357052,231.4299388925095,161.3580459035029,118.90442541867961,88.04531632655157,47.033892706809986,5.974496431819995
38.75,496.04141655037927,414.9685926710942,294.08553371856135,190.52875070388905,135.4313167449798,99.0314834221554,53.00470913038734,6.8939641167305785
41.25,497.3406469142974,457.85192058133686,356.83291990508843,230.412836434996,158.6868243135881,113.82264168169843,60.45331803134729,8.051959494010537
43.75,497.6183665115677,472.7088998989601,403.25053628871,276.17187329345575,188.92456863386474,133.28028747756466,69.72934921468584,9.480820331170777
46.25,497.94035097340463,478.19516881407384,430.47680811703185,319.5040154272397,223.4475598946858,156.82364520928655,80.73849701312457,11.153179309353073
48.75,498.4600118793019,477.6351663705883,433.7285212928412,341.8217256041467,248.55060759053535,176.11605629650535,89.89462185785179,12.569683267266562
51.25,485.4423570804448,400.7772706807089,335.2340085749332,265.1971018301621,200.33284342293575,145.55763866400412,75.19220021305765,10.716643974553435
53.75,498.3659137390866,460.8040668493522,389.65251406224843,305.7112043242901,237.88664712645783,178.70926541282472,95.56577336011395,14.145432623196644
56.25,498.62936653403926,481.99254219841424,435.7173914254278,353.25930418312726,282.75850987418664,220.82870326700112,125.78596452807915,20.220702168075984
58.75,498.55442559139965,485.38897572918484,457.6544927272911,395.3752560457573,330.08539503871674,269.0569897857224,166.8805963665131,31.120218984898877
61.25,498.55070720347186,485.6881405491821,463.8731516715121,420.5148501501356,369.23321752148695,315.75987312153694,215.87448248510506,50.04183491646103
63.75,498.57759950171015,485.9376232212133,465.40876779629303,430.73129425364584,392.5944191275984,350.95705153377776,264.607640986645,80.32744160297406
66.25,498.6077400359945,486.2284125646757,466.1872215662483,434.10432473874414,402.5113969703274,370.1589783156202,302.27103694273575,122.57743685681353
68.75,498.59185773642076,486.0799542268583,465.8615091322613,433.85057752078313,403.70239484611983,374.95411125017415,319.741498190705,167.30885902444672
71.25,496.8471101001395,469.42240093991046,427.3023769221712,365.9858710773751,314.19954986495054,270.3925104695515,201.70850042459585,87.49465119431764
