Z1[L],C1[M L^-3  or microS/cm],Z2[L],C2[M L^-3  or microS/cm],Z3[L],C3[M L^-3  or microS/cm],Z4[L],C4[M L^-3  or microS/cm],Z5[L],C5[M L^-3  or microS/cm]
64.736,2.886601453505449,56.569,1.5712291105414522,54.88,1.5021629640780247,63.743,1.4917489846686636,65.549,1.4661113928615719
64.764,2.886769232068866,56.604,1.5708564717620703,54.977,1.502710453635632,63.934,1.4941939133860984,65.643,1.468862161485427
64.68,2.886369616296946,56.672,1.57121936452304,55.083,1.5046061992473483,64.012,1.4970739099886345,65.675,1.4683896962583447
64.829,2.885835790594092,56.77,1.572298332546032,55.134,1.5047565171304058,64.252,1.4996600026422442,65.8,1.4683919786745634
65.07,2.885416060837156,56.835,1.5715214931194992,55.162,1.5050045724741863,64.45,1.500266287335063,65.859,1.4701620640553472
65.226,2.864948805524642,56.873,1.5729347308563433,55.249,1.5047890956671381,64.697,1.5007337265909655,65.979,1.4700713308625466
65.453,2.87419269882281,56.929,1.5723568116157083,55.347,1.5048485373328986,64.86,1.4988657436922836,66.0,1.4694350677733041
65.7,2.8720934987256017,57.048,1.5753526404668634,55.453,1.5040472315447573,64.98,1.501210319197088,66.088,1.4714375043692969
65.969,2.8698378450693554,57.134,1.5731164804505937,55.524,1.5046993619200577,65.133,1.500580007689345,66.425,1.4707104657558006
66.187,2.8579065167602264,57.18,1.5726446226560171,55.593,1.5050617284821783,65.355,1.5019600878158683,66.857,1.4742996687320526
66.376,2.852423407378885,57.208,1.5733790740229607,55.686,1.5058470671587287,65.463,1.5008994470629715,67.121,1.4743544615689472
66.564,2.8391922486599013,57.26,1.5733458196401984,55.794,1.5051771840739405,65.728,1.5023612702993687,67.376,1.4756855130120585
66.777,2.8290940817884573,57.34,1.5726801693030836,55.846,1.5059168001948477,65.927,1.5020475243967126,67.599,1.4758276412098155
66.94,2.832386363950667,57.405,1.573472530577129,55.905,1.505738466971502,66.12,1.5045879096894936,67.806,1.4785956148046977
67.138,2.810265015079821,57.463,1.5742196240593274,55.949,1.5065358335341699,66.422,1.506354065694876,68.048,1.4770160745332532
67.372,2.8083692598909122,57.532,1.5753715627995148,56.036,1.50640493767375,66.533,1.506987401686453,68.284,1.4784466182460592
67.427,2.810227329240908,57.617,1.574372715446924,56.127,1.5095849570606135,66.782,1.508322154474402,68.495,1.4795792458788326
67.657,2.808426391350454,57.669,1.5769490550187015,56.192,1.509211653818653,67.026,1.505757329070582,68.698,1.4790551699635501
67.874,2.8014004121787166,57.729,1.5754512661385576,56.251,1.5100445918588719,67.262,1.5067061708051852,68.935,1.4841360380637325
68.102,2.7991069452623747,57.824,1.5777341164080867,56.332,1.511228024423599,67.482,1.5079140030044242,69.071,1.4846031328803917
68.259,2.7976410829766594,57.891,1.577071772757853,56.431,1.5075350120321445,67.67,1.5111514138063966,69.321,1.4846385365613486
68.469,2.7870381047564594,57.947,1.5756857906034099,56.526,1.5071943259045781,67.865,1.5115281805473528,69.529,1.486566410544586
68.64,2.7839600796851443,58.006,1.5757133144224185,56.619,1.5069182368457377,68.103,1.5116705417495921,69.744,1.4896384539802512
68.854,2.7769381979760057,58.072,1.5775081718102257,56.709,1.5060568385209792,68.323,1.511101102502326,69.908,1.4878827846150557
69.067,2.784627249610074,58.133,1.5776463762226398,56.788,1.5090555886556785,68.543,1.5141348524355067,70.081,1.488160346911664
69.287,2.7691143116826935,58.225,1.574242559030202,56.843,1.508918961094102,68.706,1.5153042107169312,70.291,1.4889313717607109
69.482,2.7622879028498546,58.301,1.574345193320454,56.921,1.5090355803820075,68.924,1.5161013543682855,70.445,1.4898297927569246
69.666,2.75130367756546,58.388,1.5758423327872606,57.017,1.509789047438852,69.147,1.5145562716581622,70.614,1.4897989499753521
69.891,2.7441250791441236,58.5,1.5772271779890332,57.094,1.5093477115362504,69.318,1.5172445113868123,70.762,1.490062257342379
70.021,2.7432144495441206,58.554,1.5769817414518172,57.121,1.508750893214446,69.507,1.5217204978291647,70.91,1.490549470000397
70.099,2.7403289340488897,58.634,1.5801445290408025,57.161,1.5088446452056872,69.65,1.5207424056546812,71.099,1.494617804983386
70.253,2.7331032848238492,58.687,1.58170630675574,57.174,1.5083255843509646,69.9,1.5242031037767418,71.191,1.495041704792945
70.347,2.73487039769372,58.769,1.5824204142786271,57.278,1.5099005261809992,70.117,1.5263272714336267,71.31,1.4952816517213818
70.548,2.7296288480928497,58.83,1.5841234687541772,57.386,1.509223658877329,70.261,1.5264754502735371,71.463,1.4957998318037227
70.698,2.7311746519691753,58.883,1.585490482803428,57.484,1.5093848703037849,70.421,1.5280385407947392,71.588,1.4943870058446493
70.857,2.7300526762599846,59.001,1.5818393756206177,57.64,1.5117482976570926,70.591,1.5293516919272918,71.711,1.4925486976435849
70.968,2.7245284557470684,59.108,1.582684267155085,57.702,1.511949549525346,70.741,1.530532737097937,71.883,1.4989343116729514
71.09,2.720738333215587,59.21,1.5828052963910948,57.748,1.512090769982143,70.936,1.5354641761781012,72.113,1.4975452805862262
71.105,2.720723808373242,59.294,1.5856528321750774,57.795,1.5114361322313243,71.06,1.536983263125748,72.298,1.4984600542041846
71.119,2.720505936963744,59.379,1.5864783658918242,57.854,1.5097450277843762,71.21,1.5388756872928582,72.479,1.5020618114529498
71.124,2.721508769701913,59.444,1.5867210408898955,57.869,1.5105825597844926,71.415,1.5415308528397162,72.58,1.501165173888691
71.295,2.7166505983658027,59.552,1.5889413844541393,57.967,1.5119089559595893,71.635,1.5427715292277129,72.693,1.502043524022639
71.501,2.7149449419901117,59.65,1.5882574715723052,58.076,1.5107706515871002,71.762,1.5434551623115766,72.836,1.5024915704668218
71.69,2.7127887195005203,59.735,1.5879212605269175,58.191,1.5119306820839995,71.976,1.5473082988603664,72.97,1.5016120593996676
71.909,2.7103417642584757,59.825,1.5903500142875828,58.325,1.514395593899971,72.119,1.5471485253358026,73.214,1.503746606561387
72.054,2.707338061599711,59.913,1.5924553828070855,58.396,1.5148444653291648,72.289,1.5464624860024117,73.365,1.5064923920263822
72.226,2.7068723634674625,59.968,1.5960106983818008,58.414,1.514658053909585,72.376,1.546879375447827,73.558,1.5062157402383263
72.434,2.7023489847092916,60.014,1.5990000229610586,58.443,1.516884802206755,72.476,1.5462563348231158,73.756,1.505120599326571
72.655,2.7039374970709362,60.077,1.5993186099722692,58.525,1.5172336456809945,72.621,1.5491477829616003,73.905,1.504004366513169
72.826,2.702400381180891,60.146,1.6006314672503066,58.603,1.519827843277008,72.817,1.549341361599187,74.086,1.5040123679793538
73.004,2.7028913750918973,60.263,1.60278490828276,58.654,1.5195607456633353,72.937,1.5515745126939322,74.214,1.5082964304173174
73.192,2.7028605364611566,60.368,1.6071848822625299,58.906,1.5171152670254942,73.104,1.5525133176807742,74.36,1.5070417048138665
73.349,2.714326003249556,60.459,1.6143365220634878,59.121,1.5159892721559771,73.32,1.553754618491638,74.487,1.5100097187307226
73.562,2.715983808515955,60.532,1.6162603765751158,59.17,1.5156947731635342,73.443,1.5570566963794676,74.623,1.506316912077216
73.728,2.7230660711883927,60.651,1.6203246404364848,59.208,1.5168539212494068,73.598,1.5557768240938514,74.753,1.5063609248311933
73.886,2.7197530878955605,60.72,1.6232805277375832,59.239,1.516328951649416,73.797,1.5555551170521311,74.945,1.5135922228233425
