Depth [L],Flow [L^3 T^-1],Upper depth bound [L],Lower depth bound [L]
18.75,0,,
18.75,0,,
21.25,0.067657024,,
21.25,0,,
23.75,0.053358,,
23.75,-0.00375254,,
26.25,0.04495806,,
26.25,-0.00654968,,
28.75,0.03795277,,
28.75,-0.00888392,,
31.25,0.03164629,,
31.25,-0.0109857,,
33.75,0.02573844,,
33.75,-0.0129556,,
36.25,0.2285304,,
36.25,-0.139169,,
38.75,0.02113309,,
38.75,-0.0144907,,
41.25,0.017589138,,
41.25,-0.0156717,,
43.75,0.0155068,,
43.75,-0.018077746,,
46.25,0.0144293,,
46.25,-0.02131165,,
48.75,0.0133753,,
48.75,-0.02447943,,
51.25,0.129148,,
51.25,-0.2586015,,
53.75,0.0125691,,
53.75,-0.02690136,,
56.25,0.0118481,,
56.25,-0.0290638,,
58.75,0.0111468,,
58.75,-0.03116628,,
61.25,0.0104433,,
61.25,-0.03327795,,
63.75,0.00967865,,
63.75,-0.03557034,,
66.25,0.00875259,,
66.25,-0.0383541,,
68.75,0.00709617,,
68.75,-0.04343362,,
71.25,0,,
71.25,0,,
