Depth [L],In_Flow [L^3 T^-1],Out_Flow [L^3 T^-1],Upper depth bound [L],Lower depth bound [L]
37.75,1.3027301357,-0.55176498204,71.25,73.75
37.95,1.6496863069,-0.60844459469,71.25,73.75
38.15,2.1864120994,-0.6878616978899998,71.25,73.75
38.35,3.0548410881,-0.8033518095399999,71.25,73.75
38.55,4.4962018957,-0.97913697089,71.25,73.75
38.75,3.067445291,-0.8138638489899999,71.25,73.75
38.95,2.2038083284,-0.70663677273,71.25,73.75
39.15,1.668696536,-0.63502318381,71.25,73.75
39.35,1.3220968731,-0.58679532166,71.25,73.75
39.55,1.0870840052,-0.5549303928,71.25,73.75
39.75,0.92014333815,-0.53525865611,71.25,73.75
39.95,0.7955676635399999,-0.5253222724799999,71.25,73.75
40.15,0.69748709469,-0.5237877258199999,71.25,73.75
40.35,0.61571013044,-0.53013227735,71.25,73.75
40.55,0.5434974422499999,-0.5444713948799998,71.25,73.75
40.75,0.47633085786,-0.5674432836499999,71.25,73.75
40.95,0.41116141541,-0.60005420356,71.25,73.75
41.15,0.3457786716099999,-0.64329063856,71.25,73.75
41.35,0.38721217262,-0.5988113418599998,71.25,73.75
41.55,0.4208150031499999,-0.56491933645,71.25,73.75
41.75,0.44683856409,-0.54039863978,71.25,73.75
41.95,0.46523659204,-0.52398144028,71.25,73.75
42.15,0.4759440710799999,-0.5146810984399999,71.25,73.75
42.35,0.4789372614899999,-0.51187089103,71.25,73.75
42.55,0.4742283563799999,-0.5152797682599999,71.25,73.75
42.75,0.4618615113399999,-0.52495939121,71.25,73.75
42.95,0.4419297097,-0.54122282833,71.25,73.75
43.15,0.4145964590899999,-0.56451009211,71.25,73.75
43.35,0.3800617965599999,-0.59505733806,71.25,73.75
43.55,0.33830382045,-0.63210020299,71.25,73.75
43.75,0.3801702908899999,-0.5952640481199999,71.25,73.75
43.95,0.4148683381,-0.5649076046,71.25,73.75
44.15,0.44245477621,-0.54180596972,71.25,73.75
44.35,0.4627698317999999,-0.52573121869,71.25,73.75
44.55,0.4756952059399999,-0.51624789289,71.25,73.75
44.75,0.4811872369099999,-0.51304230509,71.25,73.75
44.95,0.47925445561,-0.51605430633,71.25,73.75
45.15,0.4699425819499999,-0.5255341117999999,71.25,73.75
45.35,0.45335060164,-0.54206913557,71.25,73.75
45.55,0.42967774703,-0.56658379666,71.25,73.75
45.75,0.3992788810599999,-0.60027363965,71.25,73.75
45.95,0.36267517042,-0.6443595676,71.25,73.75
46.15,0.32041565293,-0.6994112922499999,71.25,73.75
46.35,0.3593858826299999,-0.64943933575,71.25,73.75
46.55,0.3918665796399999,-0.6100708691699999,71.25,73.75
46.75,0.41722467787,-0.58121928583,71.25,73.75
46.95,0.4348445243699999,-0.5621152722,71.25,73.75
47.15,0.4442958973,-0.5520269066899999,71.25,73.75
47.35,0.44535980314,-0.55055624553,71.25,73.75
47.55,0.4380194681899999,-0.55776143451,71.25,73.75
47.75,0.4224669470899999,-0.57422225816,71.25,73.75
47.95,0.3991380932299999,-0.60109167577,71.25,73.75
48.15,0.36875730486,-0.64013119658,71.25,73.75
48.35,0.3323461630599999,-0.6936826222699999,71.25,73.75
48.55,0.2911722697999999,-0.7644919667299999,71.25,73.75
48.75,0.33073041656,-0.69233627777,71.25,73.75
48.95,0.3650690692699999,-0.63760624889,71.25,73.75
49.15,0.39286115103,-0.59744603863,71.25,73.75
49.35,0.41302220083,-0.56943411081,71.25,73.75
49.55,0.42477516826,-0.55175481774,71.25,73.75
49.75,0.42766077796,-0.54322931892,71.25,73.75
49.95,0.4215190373,-0.5432946344,71.25,73.75
50.15,0.40648825348,-0.55198792602,71.25,73.75
