iteration,_is_super,_lambda,_scale_factor,in_inst:0_usecol:1_direct_idx0:18.75,out_inst:0_usecol:2_direct_idx0:18.75,in_inst:0_usecol:1_direct_idx0:21.25,out_inst:0_usecol:2_direct_idx0:21.25,in_inst:0_usecol:1_direct_idx0:23.75,out_inst:0_usecol:2_direct_idx0:23.75,in_inst:0_usecol:1_direct_idx0:26.25,out_inst:0_usecol:2_direct_idx0:26.25,in_inst:0_usecol:1_direct_idx0:28.75,out_inst:0_usecol:2_direct_idx0:28.75,in_inst:0_usecol:1_direct_idx0:31.25,out_inst:0_usecol:2_direct_idx0:31.25,in_inst:0_usecol:1_direct_idx0:33.75,out_inst:0_usecol:2_direct_idx0:33.75,in_inst:0_usecol:1_direct_idx0:36.25,out_inst:0_usecol:2_direct_idx0:36.25,in_inst:0_usecol:1_direct_idx0:38.75,out_inst:0_usecol:2_direct_idx0:38.75,in_inst:0_usecol:1_direct_idx0:41.25,out_inst:0_usecol:2_direct_idx0:41.25,in_inst:0_usecol:1_direct_idx0:43.75,out_inst:0_usecol:2_direct_idx0:43.75,in_inst:0_usecol:1_direct_idx0:46.25,out_inst:0_usecol:2_direct_idx0:46.25,in_inst:0_usecol:1_direct_idx0:48.75,out_inst:0_usecol:2_direct_idx0:48.75,in_inst:0_usecol:1_direct_idx0:51.25,out_inst:0_usecol:2_direct_idx0:51.25,in_inst:0_usecol:1_direct_idx0:53.75,out_inst:0_usecol:2_direct_idx0:53.75,in_inst:0_usecol:1_direct_idx0:56.25,out_inst:0_usecol:2_direct_idx0:56.25,in_inst:0_usecol:1_direct_idx0:58.75,out_inst:0_usecol:2_direct_idx0:58.75,in_inst:0_usecol:1_direct_idx0:61.25,out_inst:0_usecol:2_direct_idx0:61.25,in_inst:0_usecol:1_direct_idx0:63.75,out_inst:0_usecol:2_direct_idx0:63.75,in_inst:0_usecol:1_direct_idx0:66.25,out_inst:0_usecol:2_direct_idx0:66.25,in_inst:0_usecol:1_direct_idx0:68.75,out_inst:0_usecol:2_direct_idx0:68.75,in_inst:0_usecol:1_direct_idx0:71.25,out_inst:0_usecol:2_direct_idx0:71.25,tot_inst:0_usecol:1_direct,p_inst:0_usecol:1_direct_idx0:boreholedepth,p_inst:0_usecol:1_direct_idx0:spatialdiscretizationofgrid,p_inst:0_usecol:1_direct_idx0:constantboreholecross-sectionalarea,p_inst:0_usecol:1_direct_idx0:dispersivity,p_inst:0_usecol:1_direct_idx0:diffusioncoefficient,p_inst:0_usecol:1_direct_idx0:tracerconcentrationofwaterinflow,p_inst:0_usecol:1_direct_idx0:watertemperature,p_inst:0_usecol:1_direct_idx0:alphamin,p_inst:0_usecol:1_direct_idx0:alphamax,p_inst:0_usecol:1_direct_idx0:flowmin,p_inst:0_usecol:1_direct_idx0:flowmax
1,0,0.1,1,0.55015,0.464653,0.894454,0.475261,0.775416,0.487478,0.674301,0.501327,0.604053,0.519256,0.553876,0.54062,0.540605,0.555985,2.28096,0.560124,0.855729,0.529702,0.615694,0.512847,0.527726,0.511696,0.482113,0.517202,0.460404,0.522796,0.979982,0.541695,0.490484,0.544766,0.435183,0.534917,0.414197,0.51547,0.402588,0.492953,0.394897,0.473661,0.388951,0.460594,0.384388,0.45427,0.437951,0.4553,1.05902,,,,10,1e-09,,,,,,
1,0,0.1,0.75,0.539366,0.473248,0.876255,0.481329,0.765,0.490579,0.666763,0.500995,0.598277,0.514373,0.549855,0.530166,0.539151,0.541427,2.19179,0.544447,0.862907,0.522115,0.620936,0.509605,0.531954,0.508747,0.486593,0.512847,0.46649,0.517001,0.904391,0.530956,0.494309,0.533212,0.439751,0.525966,0.418881,0.511558,0.407575,0.494705,0.400274,0.480113,0.394785,0.470145,0.390747,0.465295,0.436203,0.466085,1.06912,71.25,2.5,0.0314159,6.00462,1e-09,0,28.5,0.2,1.5,0,2
1,0,1,1,0.731816,0.368907,1.26653,0.385415,1.01344,0.404626,0.855212,0.429199,0.742368,0.467031,0.650265,0.525467,0.591862,0.614143,3.97129,0.83972,0.702671,0.678888,0.514906,0.563286,0.448003,0.536599,0.399523,0.553403,0.359081,0.578055,2.2568,0.658966,0.395936,0.648548,0.328608,0.600988,0.306452,0.540087,0.289559,0.477306,0.274554,0.419863,0.259572,0.372896,0.244739,0.342913,0.472994,0.341806,0.827447,,,,7.61054,1e-09,,,,,,
1,0,1,0.75,0.668073,0.398043,1.13743,0.411328,0.9351,0.426612,0.796869,0.445899,0.698329,0.475064,0.620164,0.518981,0.577052,0.58337,3.32208,0.737638,0.744348,0.628914,0.543023,0.546751,0.470466,0.527205,0.422631,0.53954,0.387152,0.557467,1.69068,0.615021,0.420968,0.607714,0.356214,0.573974,0.334162,0.529773,0.31832,0.482881,0.304765,0.438604,0.291496,0.401267,0.278512,0.376817,0.462126,0.375904,0.888491,71.25,2.5,0.0314159,4.89269,1e-09,0,28.5,0.2,1.5,0,2
1,0,10,1,0.615343,0.425359,1.23594,0.421436,1.01107,0.424643,0.859106,0.429836,0.746358,0.436301,0.654776,0.443998,0.604858,0.457717,3.66308,0.617434,0.718271,0.575723,0.530617,0.548312,0.461316,0.542698,0.418271,0.546456,0.401834,0.548887,1.88573,0.558101,0.407282,0.550073,0.336515,0.537964,0.313242,0.525544,0.297425,0.513916,0.283947,0.503513,0.270749,0.494384,0.258521,0.487014,0.434981,0.481297,0.81829,,,,1.73518,1e-09,,,,,,
1,0,10,0.75,0.586624,0.442903,1.11676,0.439836,0.93346,0.442345,0.799588,0.446395,0.701142,0.451422,0.623387,0.457381,0.586529,0.46794,3.12676,0.585714,0.756708,0.555779,0.555403,0.535813,0.480913,0.531693,0.437419,0.534452,0.421234,0.536234,1.47758,0.542972,0.429983,0.537104,0.362624,0.528211,0.3397,0.519038,0.324785,0.510401,0.312552,0.502632,0.30086,0.495782,0.290195,0.490228,0.433982,0.485906,0.881107,71.25,2.5,0.0314159,1.61434,1e-09,0,28.5,0.2,1.5,0,2
1,0,100,1,0.54191,0.471172,1.05851,0.471027,0.891248,0.472824,0.762018,0.475094,0.667942,0.477191,0.596546,0.478855,0.565713,0.47959,2.8505,0.523844,0.800352,0.519557,0.580572,0.517693,0.496594,0.517699,0.454878,0.518334,0.451402,0.518871,1.09217,0.515619,0.463351,0.514327,0.388968,0.511599,0.361105,0.508749,0.345259,0.506238,0.334029,0.504185,0.324901,0.502536,0.31955,0.501349,0.433263,0.500995,0.843504,,,,1.32572,1e-09,,,,,,
1,0,100,0.75,0.533295,0.47822,0.994218,0.478109,0.849198,0.479477,0.730812,0.481202,0.645133,0.482794,0.581328,0.484056,0.557824,0.484613,2.5906,0.517778,0.820678,0.514597,0.594175,0.513212,0.50824,0.513216,0.465828,0.513688,0.459632,0.514087,0.980981,0.511669,0.473656,0.510707,0.404239,0.508675,0.37793,0.506547,0.363221,0.504671,0.353047,0.503136,0.344947,0.501901,0.34019,0.501011,0.432696,0.500746,0.901392,71.25,2.5,0.0314159,1.31924,1e-09,0,28.5,0.2,1.5,0,2
1,0,1000,1,0.51469,0.496766,0.864161,0.496786,0.759899,0.497064,0.662526,0.497378,0.593614,0.497632,0.545426,0.497795,0.536992,0.497821,2.13151,0.503632,0.871003,0.502968,0.626697,0.502571,0.535601,0.502374,0.491694,0.502274,0.479271,0.502247,0.755606,0.501877,0.498351,0.501572,0.441562,0.50103,0.419125,0.500499,0.407381,0.500056,0.400149,0.499713,0.395163,0.499455,0.392788,0.499283,0.433928,0.499273,0.916803,,,,1.29863,1e-09,,,,,,
1,0,1000,0.75,0.513076,0.497572,0.853901,0.497588,0.753489,0.497796,0.658012,0.498033,0.590505,0.498223,0.543551,0.498346,0.536446,0.498365,2.08318,0.502722,0.874434,0.502224,0.629239,0.501927,0.537896,0.50178,0.493828,0.501704,0.480755,0.501684,0.744156,0.501407,0.500244,0.501178,0.444576,0.500772,0.422613,0.500374,0.411209,0.500042,0.40426,0.499785,0.399504,0.499591,0.397133,0.499462,0.433194,0.499454,0.959522,71.25,2.5,0.0314159,1.29897,1e-09,0,28.5,0.2,1.5,0,2
