name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
IN_INST:0_USECOL:1_DIRECT_IDX0:29.0,-0.30103,4,-8.30103,7.69897,0.071779,2.38408,-4.69639,4.83994
OUT_INST:0_USECOL:2_DIRECT_IDX0:29.0,-0.30103,4,-8.30103,7.69897,-0.627365,3.98421,-8.59579,7.34106
IN_INST:0_USECOL:1_DIRECT_IDX0:30.0,-0.30103,4,-8.30103,7.69897,1.19103,0.541773,0.107488,2.27458
OUT_INST:0_USECOL:2_DIRECT_IDX0:30.0,-0.30103,4,-8.30103,7.69897,-0.912524,3.99844,-8.9094,7.08435
IN_INST:0_USECOL:1_DIRECT_IDX0:31.0,-0.30103,4,-8.30103,7.69897,-0.113837,2.36229,-4.83842,4.61074
OUT_INST:0_USECOL:2_DIRECT_IDX0:31.0,-0.30103,4,-8.30103,7.69897,-0.903603,3.99745,-8.89851,7.0913
IN_INST:0_USECOL:1_DIRECT_IDX0:32.0,-0.30103,4,-8.30103,7.69897,0.573341,0.703598,-0.833855,1.98054
OUT_INST:0_USECOL:2_DIRECT_IDX0:32.0,-0.30103,4,-8.30103,7.69897,-0.884588,3.9968,-8.8782,7.10902
IN_INST:0_USECOL:1_DIRECT_IDX0:33.0,-0.30103,4,-8.30103,7.69897,0.200802,1.22792,-2.25504,2.65665
OUT_INST:0_USECOL:2_DIRECT_IDX0:33.0,-0.30103,4,-8.30103,7.69897,-0.880526,3.99633,-8.87318,7.11213
IN_INST:0_USECOL:1_DIRECT_IDX0:34.0,-0.30103,4,-8.30103,7.69897,0.341982,0.883723,-1.42546,2.10943
OUT_INST:0_USECOL:2_DIRECT_IDX0:34.0,-0.30103,4,-8.30103,7.69897,-0.85562,3.9957,-8.84703,7.13579
IN_INST:0_USECOL:1_DIRECT_IDX0:35.0,-0.30103,4,-8.30103,7.69897,0.388718,0.837895,-1.28707,2.06451
OUT_INST:0_USECOL:2_DIRECT_IDX0:35.0,-0.30103,4,-8.30103,7.69897,-0.824392,3.99507,-8.81453,7.16575
IN_INST:0_USECOL:1_DIRECT_IDX0:36.0,-0.30103,4,-8.30103,7.69897,0.227337,1.05169,-1.87603,2.33071
OUT_INST:0_USECOL:2_DIRECT_IDX0:36.0,-0.30103,4,-8.30103,7.69897,-0.796484,3.99474,-8.78596,7.19299
IN_INST:0_USECOL:1_DIRECT_IDX0:37.0,-0.30103,4,-8.30103,7.69897,-0.424097,3.09231,-6.60872,5.76053
OUT_INST:0_USECOL:2_DIRECT_IDX0:37.0,-0.30103,4,-8.30103,7.69897,-0.798772,3.99566,-8.7901,7.19256
IN_INST:0_USECOL:1_DIRECT_IDX0:38.0,-0.30103,4,-8.30103,7.69897,-0.426211,2.89469,-6.2156,5.36318
OUT_INST:0_USECOL:2_DIRECT_IDX0:38.0,-0.30103,4,-8.30103,7.69897,-0.778809,3.99577,-8.77036,7.21274
IN_INST:0_USECOL:1_DIRECT_IDX0:39.0,-0.30103,4,-8.30103,7.69897,-0.457373,2.99906,-6.4555,5.54075
OUT_INST:0_USECOL:2_DIRECT_IDX0:39.0,-0.30103,4,-8.30103,7.69897,-0.747744,3.99555,-8.73884,7.24336
IN_INST:0_USECOL:1_DIRECT_IDX0:40.0,-0.30103,4,-8.30103,7.69897,-0.440014,2.96597,-6.37196,5.49193
OUT_INST:0_USECOL:2_DIRECT_IDX0:40.0,-0.30103,4,-8.30103,7.69897,-0.714418,3.99532,-8.70505,7.27622
IN_INST:0_USECOL:1_DIRECT_IDX0:41.0,-0.30103,4,-8.30103,7.69897,-0.342146,2.64084,-5.62383,4.93954
OUT_INST:0_USECOL:2_DIRECT_IDX0:41.0,-0.30103,4,-8.30103,7.69897,-0.673601,3.99494,-8.66348,7.31628
IN_INST:0_USECOL:1_DIRECT_IDX0:42.0,-0.30103,4,-8.30103,7.69897,-0.282431,2.50117,-5.28478,4.71992
OUT_INST:0_USECOL:2_DIRECT_IDX0:42.0,-0.30103,4,-8.30103,7.69897,-0.635091,3.99471,-8.62452,7.35433
IN_INST:0_USECOL:1_DIRECT_IDX0:43.0,-0.30103,4,-8.30103,7.69897,-0.19314,2.10723,-4.40759,4.02131
OUT_INST:0_USECOL:2_DIRECT_IDX0:43.0,-0.30103,4,-8.30103,7.69897,-0.581223,3.99412,-8.56947,7.40702
IN_INST:0_USECOL:1_DIRECT_IDX0:44.0,-0.30103,4,-8.30103,7.69897,-0.423065,2.98362,-6.3903,5.54417
OUT_INST:0_USECOL:2_DIRECT_IDX0:44.0,-0.30103,4,-8.30103,7.69897,-0.527644,3.99348,-8.5146,7.45931
IN_INST:0_USECOL:1_DIRECT_IDX0:45.0,-0.30103,4,-8.30103,7.69897,-0.463639,3.0481,-6.55984,5.63256
OUT_INST:0_USECOL:2_DIRECT_IDX0:45.0,-0.30103,4,-8.30103,7.69897,-0.487787,3.99321,-8.47421,7.49863
IN_INST:0_USECOL:1_DIRECT_IDX0:46.0,-0.30103,4,-8.30103,7.69897,-0.428521,2.90974,-6.248,5.39095
OUT_INST:0_USECOL:2_DIRECT_IDX0:46.0,-0.30103,4,-8.30103,7.69897,-0.453996,3.99311,-8.44022,7.53223
IN_INST:0_USECOL:1_DIRECT_IDX0:47.0,-0.30103,4,-8.30103,7.69897,-0.412965,2.85819,-6.12935,5.30342
OUT_INST:0_USECOL:2_DIRECT_IDX0:47.0,-0.30103,4,-8.30103,7.69897,-0.425547,3.9932,-8.41194,7.56084
IN_INST:0_USECOL:1_DIRECT_IDX0:48.0,-0.30103,4,-8.30103,7.69897,-0.43429,2.89553,-6.22536,5.35678
OUT_INST:0_USECOL:2_DIRECT_IDX0:48.0,-0.30103,4,-8.30103,7.69897,-0.390544,3.99307,-8.37669,7.5956
IN_INST:0_USECOL:1_DIRECT_IDX0:49.0,-0.30103,4,-8.30103,7.69897,-0.519061,3.15154,-6.82213,5.78401
OUT_INST:0_USECOL:2_DIRECT_IDX0:49.0,-0.30103,4,-8.30103,7.69897,-0.356437,3.99291,-8.34226,7.62938
IN_INST:0_USECOL:1_DIRECT_IDX0:50.0,-0.30103,4,-8.30103,7.69897,-0.568526,3.25523,-7.07899,5.94193
OUT_INST:0_USECOL:2_DIRECT_IDX0:50.0,-0.30103,4,-8.30103,7.69897,-0.337841,3.99316,-8.32416,7.64848
IN_INST:0_USECOL:1_DIRECT_IDX0:51.0,-0.30103,4,-8.30103,7.69897,-0.588807,3.26382,-7.11644,5.93883
OUT_INST:0_USECOL:2_DIRECT_IDX0:51.0,-0.30103,4,-8.30103,7.69897,-0.318967,3.9933,-8.30557,7.66763
IN_INST:0_USECOL:1_DIRECT_IDX0:52.0,-0.30103,4,-8.30103,7.69897,-0.642798,3.40562,-7.45404,6.16845
OUT_INST:0_USECOL:2_DIRECT_IDX0:52.0,-0.30103,4,-8.30103,7.69897,-0.275602,3.99243,-8.26046,7.70925
IN_INST:0_USECOL:1_DIRECT_IDX0:53.0,-0.30103,4,-8.30103,7.69897,-0.67321,3.48629,-7.64579,6.29937
OUT_INST:0_USECOL:2_DIRECT_IDX0:53.0,-0.30103,4,-8.30103,7.69897,-0.271348,3.99268,-8.2567,7.71401
IN_INST:0_USECOL:1_DIRECT_IDX0:54.0,-0.30103,4,-8.30103,7.69897,-0.625706,3.35508,-7.33587,6.08446
OUT_INST:0_USECOL:2_DIRECT_IDX0:54.0,-0.30103,4,-8.30103,7.69897,-0.258654,3.99246,-8.24357,7.72626
IN_INST:0_USECOL:1_DIRECT_IDX0:55.0,-0.30103,4,-8.30103,7.69897,-0.579855,3.24126,-7.06237,5.90266
