name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
IN_INST:0_USECOL:1_DIRECT_IDX0:29.0,-0.30103,4,-8.30103,7.69897,-0.165656,3.57048,-7.30662,6.9753
OUT_INST:0_USECOL:2_DIRECT_IDX0:29.0,-0.30103,4,-8.30103,7.69897,-0.332491,3.49488,-7.32225,6.65726
IN_INST:0_USECOL:1_DIRECT_IDX0:30.0,-0.30103,4,-8.30103,7.69897,0.624629,0.644107,-0.663586,1.91284
OUT_INST:0_USECOL:2_DIRECT_IDX0:30.0,-0.30103,4,-8.30103,7.69897,-0.544668,3.82943,-8.20353,7.11419
IN_INST:0_USECOL:1_DIRECT_IDX0:31.0,-0.30103,4,-8.30103,7.69897,0.425458,0.616321,-0.807183,1.6581
OUT_INST:0_USECOL:2_DIRECT_IDX0:31.0,-0.30103,4,-8.30103,7.69897,-0.477954,3.91109,-8.30014,7.34424
IN_INST:0_USECOL:1_DIRECT_IDX0:32.0,-0.30103,4,-8.30103,7.69897,0.318047,0.606017,-0.893987,1.53008
OUT_INST:0_USECOL:2_DIRECT_IDX0:32.0,-0.30103,4,-8.30103,7.69897,-0.33722,3.82468,-7.98658,7.31214
IN_INST:0_USECOL:1_DIRECT_IDX0:33.0,-0.30103,4,-8.30103,7.69897,0.395671,0.589968,-0.784264,1.57561
OUT_INST:0_USECOL:2_DIRECT_IDX0:33.0,-0.30103,4,-8.30103,7.69897,-0.297911,3.76851,-7.83494,7.23912
IN_INST:0_USECOL:1_DIRECT_IDX0:34.0,-0.30103,4,-8.30103,7.69897,0.40864,0.589167,-0.769695,1.58697
OUT_INST:0_USECOL:2_DIRECT_IDX0:34.0,-0.30103,4,-8.30103,7.69897,-0.292923,3.76062,-7.81416,7.22831
IN_INST:0_USECOL:1_DIRECT_IDX0:35.0,-0.30103,4,-8.30103,7.69897,0.368831,0.592968,-0.817106,1.55477
OUT_INST:0_USECOL:2_DIRECT_IDX0:35.0,-0.30103,4,-8.30103,7.69897,-0.288441,3.75839,-7.80522,7.22833
IN_INST:0_USECOL:1_DIRECT_IDX0:36.0,-0.30103,4,-8.30103,7.69897,0.32486,0.602319,-0.879779,1.5295
